Date,Campaign,Impressions,Clicks,Spend,Visits
2024-01-01,Summer Sale,10000,500,1000.5,450
2024-01-02,Black Friday,15000,750,1500.75,680
2024-01-03,New Year Blast,18000,820,1700.0,720
2024-01-04,Winter Deals,9000,420,850.25,380
2024-01-05,Clearance Sale,12000,600,1100.1,520
2024-01-06,Mega Discount,14000,700,1350.95,640
2024-01-07,Holiday Offer,16000,800,1600.4,700
2024-01-08,Flash Sale,20000,950,1900.0,880
2024-01-09,Weekend Promo,13000,610,1200.5,560
2024-01-10,Festival Sale,22000,1100,2200.3,990
